uuid,all_uuids,playlist_title,id3_title,new_name,mp3_exists,image_exists
"f17ab25c-72cd-4f85-946c-08084478f55c","f17ab25c-72cd-4f85-946c-08084478f55c","i_10d22026-000a-4f1a-b3d3-0fa","16_CH_10_LE_VOLEUR_DE_FOUDRE","i_10d22026-000a-4f1a-b3d3-0fa",True,True
"0b8677c1-5d4d-4fb4-abc6-3cd0ca8ed2a5","0b8677c1-5d4d-4fb4-abc6-3cd0ca8ed2a5","pisode 26","17_CH_11_LE_VOLEUR_DE_FOUDRE","pisode 26",True,True
"a667b7c1-0249-4b77-9285-912b0df05600","a667b7c1-0249-4b77-9285-912b0df05600|85c70a2b-b01b-4b50-9852-00c2c425f862","1Percy Jackson - Le","18_CH_11_LE_VOLEUR_DE_FOUDRE","1Percy Jackson - Le",True,True
"58285135-3c7f-48e0-9b3f-f2c76e1d5d01","58285135-3c7f-48e0-9b3f-f2c76e1d5d01","i_41543600-9436-4098-96ab-4d38aa9b9d6","19_CH_12_LE_VOLEUR_DE_FOUDRE","i_41543600-9436-4098-96ab-4d38aa9b9d6",True,True
"30362e73-e60c-4da3-80e7-c2efee8a88af","30362e73-e60c-4da3-80e7-c2efee8a88af","pisode 31","20_CH_13_LE_VOLEUR_DE_FOUDRE","pisode 31",True,True
"ba08f3f5-383e-4de1-bdb3-06f0ecfdb22a","ba08f3f5-383e-4de1-bdb3-06f0ecfdb22a|d3c366f4-4f14-4955-9beb-7d49f3841f6b","1Percy Jackson - Le Voleur","21_CH_14_LE_VOLEUR_DE_FOUDRE","1Percy Jackson - Le Voleur",True,True
"c6ae49f5-c680-4d1b-b34d-af3d0aff73b1","c6ae49f5-c680-4d1b-b34d-af3d0aff73b1|f544e373-1db7-4b48-92c4-d2b1f83ff24b","i_c6ae49f5-c680-4d1b-b34d-af3d0aff73b1","22_CH_15_LE_VOLEUR_DE_FOUDRE","i_c6ae49f5-c680-4d1b-b34d-af3d0aff73b1",True,True
"b0ef0650-4ef2-4528-a838-138654a9876d","b0ef0650-4ef2-4528-a838-138654a9876d","pisode 36","23_CH_15_LE_VOLEUR_DE_FOUDRE","pisode 36",True,True
"955e49ea-f0cb-4d67-af3e-3c59e1cc7160","955e49ea-f0cb-4d67-af3e-3c59e1cc7160|d8770636-4a39-4d57-94b5-9a58597a5aad","1Percy Jackson - Le Voleur de foudr","24_CH_16_LE_VOLEUR_DE_FOUDRE","1Percy Jackson - Le Voleur de foudr",True,True
"98744427-eef5-442a-b09d-584569267199","98744427-eef5-442a-b09d-584569267199|115469b7-7f60-4d6d-944f-e482e2f26adf","i_98744427-eef5-442a-b09d-584569267199","25_CH_16_LE_VOLEUR_DE_FOUDRE","i_98744427-eef5-442a-b09d-584569267199",True,True
"398b256f-b7c7-4d58-9f34-68dea08cfdb2","398b256f-b7c7-4d58-9f34-68dea08cfdb2","pisode 41","26_CH_17_LE_VOLEUR_DE_FOUDRE","pisode 41",True,True
"6197ffc9-afce-4f68-aafc-dcbbc176cb64","6197ffc9-afce-4f68-aafc-dcbbc176cb64","deeb3-f85d-4e31-a566-0a7aa973215a","28_CH_18_LE_VOLEUR_DE_FOUDRE","deeb3-f85d-4e31-a566-0a7aa973215a",True,True
"cbf04fee-fa83-431e-86d6-aaaff3b1b943","cbf04fee-fa83-431e-86d6-aaaff3b1b943|a39af675-799f-438d-90a5-9aa20623425b","i_cbf04fee-fa83-431e-86d6-aaaff3b1b943","29_CH_18_LE_VOLEUR_DE_FOUDRE","i_cbf04fee-fa83-431e-86d6-aaaff3b1b943",True,True
"ac17c2ee-356d-4452-b09e-e2cfd88da4ea","ac17c2ee-356d-4452-b09e-e2cfd88da4ea","i_b223afb0-ef","31_CH_19_LE_VOLEUR_DE_FOUDRE","i_b223afb0-ef",True,True
"aa6afbdf-1593-4eb6-9e86-7866198d77b5","aa6afbdf-1593-4eb6-9e86-7866198d77b5","a2-418f-8bf4-1cb4fcefc97d","32_CH_20_LE_VOLEUR_DE_FOUDRE","a2-418f-8bf4-1cb4fcefc97d",True,True
"d92320ce-7647-4fda-abd3-c88548fb020d","d92320ce-7647-4fda-abd3-c88548fb020d|60051180-4567-45e4-a6b0-2629c64e9323","i_d92320ce-7647-4fda-abd3-c88548fb020d","32_CH_20_LE_VOLEUR_DE_FOUDRE","i_d92320ce-7647-4fda-abd3-c88548fb020d",True,True
"91dbc6a5-8788-4e82-8f29-b28495cf408b","91dbc6a5-8788-4e82-8f29-b28495cf408b","i_5d3afee8-da4a-4494","33_CH_21_LE_VOLEUR_DE_FOUDRE","i_5d3afee8-da4a-4494",True,True
"be5182ca-7ea9-4457-8632-2ee417daab25","be5182ca-7ea9-4457-8632-2ee417daab25","a96e-f7ae4ba93df9","35_CH_22_LE_VOLEUR_DE_FOUDRE ","a96e-f7ae4ba93df9",True,True
"2a46187d-b480-4d58-89f7-6bf6dfc32395","2a46187d-b480-4d58-89f7-6bf6dfc32395|e924ab4d-a6e8-48a0-b8d4-2f3049a6fcc9","1Percy Jack","36_CH_22_LE_VOLEUR_DE_FOUDRE ","1Percy Jack",True,True
"7388e127-1516-4cd7-bc59-64a7e2e164c4","7388e127-1516-4cd7-bc59-64a7e2e164c4","1c74e8f3-123e-4497-964b-672","","1c74e8f3-123e-4497-964b-672",False,False
"371d4346-0bba-4ec4-922f-367b43c861d0","371d4346-0bba-4ec4-922f-367b43c861d0","Introduction et remerciements","Introduction","Introduction et remerciements",True,True
"22bc5d85-7698-4e47-8acd-0cc0a6466c58","22bc5d85-7698-4e47-8acd-0cc0a6466c58|85d0e632-1066-4b44-8ef6-f71190633031","Ulysse voit surgir de la mer un premier da","1er épisode, où Ulysse voit surgir de la mer un premier danger","Ulysse voit surgir de la mer un premier da",True,True
"51aa0475-9343-481b-a830-d099e9cdbaaa","51aa0475-9343-481b-a830-d099e9cdbaaa","pisode_ au cours duquel se joue le destin d_Ulysse","3e épisode, au cours duquel se joue le destin d’Ulysse","pisode_ au cours duquel se joue le destin d_Ulysse",True,True
"e546683d-f931-48c2-9849-bd07c7ecb7ff","e546683d-f931-48c2-9849-bd07c7ecb7ff","Ulysse endosse sa mission de chef de guerre","5e épisode, où Ulysse endosse sa mission de chef de guerre","Ulysse endosse sa mission de chef de guerre",True,True
"0b9ba0b9-eeb6-4232-aa09-0077aee51560","0b9ba0b9-eeb6-4232-aa09-0077aee51560|135a9875-d423-4a9b-8ef7-9d88e5ea3ceb","Ulysse doit faire ses preuves","6e épisode, où Ulysse doit faire ses preuves","Ulysse doit faire ses preuves",True,True
"e2b4ef50-05d8-453a-b7ec-34e8fc00dc78","e2b4ef50-05d8-453a-b7ec-34e8fc00dc78|dae4b1a6-0d75-4e81-8906-9d32e1aecf24","uquel Ulysse utilise sa ruse avec","8e épisode, où Ulysse se découvre une mystérieuse alliée","uquel Ulysse utilise sa ruse avec",True,True
"433d3321-847f-4ab4-9ddd-da99c6d3098d","433d3321-847f-4ab4-9ddd-da99c6d3098d","pisode_ ce qui_ pendant ce temps_ se trame sur l_Olympe","10e épisode, où il est question d’un berger nommé Alexandre","pisode_ ce qui_ pendant ce temps_ se trame sur l_Olympe",True,True
